GameID,Team,Time,Player,PlayerID,Penalty,PIM
202402250ANA,ANA,11.25,Sam Carrick,carrisa01,Tripping,2 min
202402250ANA,ANA,17.95,Sam Carrick,carrisa01,Fighting,5 min
202402250ANA,NSH,17.95,Jeremy Lauzon,lauzoje01,Fighting,5 min
202402250ANA,ANA,21.38,Radko Gudas,gudasra01,Tripping,2 min
202402250ANA,NSH,28.85,Alexandre Carrier,carrial01,Interference,2 min
202402250ANA,ANA,33.1,Radko Gudas,gudasra01,High Sticking,2 min
202402250ANA,ANA,37.9,Radko Gudas,gudasra01,Holding,2 min
202402250ANA,NSH,40.77,Kiefer Sherwood,sherwki01,Tripping,2 min
202402250ANA,NSH,58.68,Roman Josi,josiro01,Delay of Game,2 min
202403010ANA,ANA,11.23,Pavel Mintyukov,mintypa01,Slashing,2 min
202403010ANA,ANA,14.68,Radko Gudas,gudasra01,Fighting,5 min
202403010ANA,NJD,14.68,Curtis Lazar,lazarcu01,Instigator,2 min
202403010ANA,NJD,14.68,Curtis Lazar,lazarcu01,Fighting,5 min
202403010ANA,NJD,14.68,Curtis Lazar,lazarcu01,Instigator,10 min
202403010ANA,NJD,26.75,Brendan Smith,smithbr05,Tripping,2 min
202403010ANA,ANA,35.2,Urho Vaakanainen,vaakaur01,Holding,2 min
202403010ANA,ANA,50.02,Gustav Lindström,lindsgu01,Slashing,2 min
202403010ANA,ANA,55.67,Gustav Lindström,lindsgu01,Cross Checking,2 min
202403010ANA,ANA,59.95,Frank Vatrano,vatrafr01,Interference - Displacing net,Penalty Shot (Jack Hughes - Saved)
202403030ANA,ANA,19.42,Bench,,Too Many Men on the Ice,2 min
202403030ANA,ANA,21.38,Sam Carrick,carrisa01,Slashing,2 min
202403030ANA,VAN,31.12,Noah Juulsen,juulsno01,Holding,2 min
202403060ANA,ANA,5.98,Glenn Gawdin,gawdigl01,Holding,2 min
202403060ANA,ANA,17.92,Max Jones,jonesma03,Interference,2 min
202403060ANA,OTT,17.92,Parker Kelly,kellypa01,Unsportsmanlike Conduct,2 min
202403060ANA,ANA,28.25,Ryan Strome,stromry01,Hooking,2 min
202403060ANA,OTT,29.43,Jakob Chychrun,chychja01,Holding,2 min
