Gm,GameID,Date,Team,Location,Opp,G,GA,Result,OT/SO,SOG,PIM,SOGA,PIMA,CF at EV,CA at EV,CF% at EV,FF at EV,FA at EV,FF% at EV,FOW at EV,FOL at EV
1,202310110BOS,10/11/2023,BOS,vs,CHI,3,1,W,,33,13,21,23,65,37,63.7,42,30,58.3,27,15
2,202310140BOS,10/14/2023,BOS,vs,NSH,3,2,W,,30,14,36,10,43,42,50.6,24,35,40.7,14,27
3,202310190SJS,10/19/2023,BOS,@,SJS,3,1,W,,36,6,27,2,50,60,45.5,41,42,49.4,24,31
4,202310210LAK,10/21/2023,BOS,@,LAK,4,2,W,,25,17,34,13,42,56,42.9,30,38,44.1,27,32
5,202310220ANA,10/22/2023,BOS,@,ANA,3,1,W,,26,8,31,12,33,50,39.8,26,41,38.8,20,17
6,202310240CHI,10/24/2023,BOS,@,CHI,3,0,W,,43,8,23,10,57,40,58.8,47,30,61,25,28
7,202310260BOS,10/26/2023,BOS,vs,ANA,3,4,L,OT,30,12,32,8,43,45,48.9,33,36,47.8,23,18
8,202310280BOS,10/28/2023,BOS,vs,DET,4,1,W,,31,10,24,10,40,51,44,31,31,50,17,19
9,202310300BOS,10/30/2023,BOS,vs,FLA,3,2,W,OT,26,19,37,2,49,57,46.2,31,39,44.3,18,27
10,202311020BOS,11/02/2023,BOS,vs,TOR,3,2,W,SO,40,4,35,4,68,59,53.5,52,47,52.5,31,16
11,202311040DET,11/04/2023,BOS,@,DET,4,5,L,,30,32,40,20,42,61,40.8,31,42,42.5,22,24
12,202311060DAL,11/06/2023,BOS,@,DAL,3,2,W,,29,6,37,8,42,60,41.2,24,48,33.3,26,27
13,202311090BOS,11/09/2023,BOS,vs,NYI,5,2,W,,35,2,29,6,48,55,46.6,34,36,48.6,18,28
14,202311110MTL,11/11/2023,BOS,@,MTL,2,3,L,OT,28,8,27,8,45,44,50.6,32,31,50.8,15,18
15,202311140BUF,11/14/2023,BOS,@,BUF,5,2,W,,32,6,34,8,45,54,45.5,33,44,42.9,21,22
16,202311180BOS,11/18/2023,BOS,vs,MTL,5,2,W,,44,6,22,12,63,29,68.5,52,18,74.3,23,26
17,202311200TBL,11/20/2023,BOS,@,TBL,4,5,L,OT,27,14,47,6,43,61,41.3,32,43,42.7,20,26
18,202311220FLA,11/22/2023,BOS,@,FLA,3,1,W,,25,13,28,13,45,64,41.3,30,44,40.5,25,16
19,202311240BOS,11/24/2023,BOS,vs,DET,2,5,L,,27,12,28,6,45,38,54.2,31,30,50.8,26,23
20,202311250NYR,11/25/2023,BOS,@,NYR,4,7,L,,31,6,40,6,48,64,42.9,35,51,40.7,22,38
21,202311270CBJ,11/27/2023,BOS,@,CBJ,2,5,L,,33,10,40,4,60,52,53.6,50,38,56.8,25,19
22,202311300BOS,11/30/2023,BOS,vs,SJS,3,0,W,,37,22,26,20,48,40,54.5,40,31,56.3,22,19
23,202312020TOR,12/02/2023,BOS,@,TOR,4,3,W,OT,37,2,40,2,63,67,48.5,45,50,47.4,26,30
24,202312030BOS,12/03/2023,BOS,vs,CBJ,3,1,W,,28,8,25,12,47,45,51.1,29,33,46.8,16,17
25,202312070BOS,12/07/2023,BOS,vs,BUF,1,3,L,,32,6,35,2,61,49,55.5,42,39,51.9,24,19
26,202312090BOS,12/09/2023,BOS,vs,ARI,5,3,W,,29,10,33,6,41,42,49.4,30,30,50,32,10
27,202312130NJD,12/13/2023,BOS,@,NJD,1,2,L,OT,24,4,35,2,50,63,44.2,38,48,44.2,26,27
28,202312150NYI,12/15/2023,BOS,@,NYI,5,4,W,SO,34,8,37,6,57,47,54.8,39,42,48.1,28,36
29,202312160BOS,12/16/2023,BOS,vs,NYR,1,2,L,OT,22,30,34,15,45,42,51.7,29,33,46.8,16,18
30,202312190BOS,12/19/2023,BOS,vs,MIN,3,4,L,OT,43,14,30,28,56,53,51.4,45,41,52.3,30,17
31,202312220WPG,12/22/2023,BOS,@,WPG,1,5,L,,25,6,33,4,51,53,49,39,37,51.3,26,33
32,202312230MIN,12/23/2023,BOS,@,MIN,2,3,L,,21,15,35,9,42,42,50,30,34,46.9,21,24
33,202312270BUF,12/27/2023,BOS,@,BUF,4,1,W,,25,12,26,10,38,48,44.2,29,35,45.3,26,23
34,202312300BOS,12/30/2023,BOS,vs,NJD,5,2,W,,31,4,33,4,50,50,50,37,37,50,11,33
35,202312310DET,12/31/2023,BOS,@,DET,5,3,W,,24,16,30,8,40,43,48.2,26,29,47.3,10,26
36,202401020CBJ,01/02/2024,BOS,@,CBJ,4,1,W,,27,4,27,8,40,49,44.9,26,36,41.9,21,32
37,202401040BOS,01/04/2024,BOS,vs,PIT,5,6,L,,29,6,35,4,48,47,50.5,30,37,44.8,19,31
38,202401060BOS,01/06/2024,BOS,vs,TBL,7,3,W,,26,8,26,8,27,41,39.7,19,32,37.3,19,17
