Game_ID,Home Team,Away Team,Period,Time,Team,Info,Scorer,Scorer_ID,Assist1,Assist1_ID,Assist2,Assist2_ID
202312310ANA,ANA,EDM,1st Period,9:10,ANA,--,Max Jones,jonesma03,Ryan Strome,stromry01,Trevor Zegras,zegratr01
202312310ANA,ANA,EDM,1st Period,17:22,EDM,--,Evander Kane,kaneev01,--,--,--,--
202312310ANA,ANA,EDM,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202312310ANA,ANA,EDM,2nd Period,1:48,EDM,--,Leon Draisaitl,draisle01,Darnell Nurse,nurseda01,Warren Foegele,foegewa01
202312310ANA,ANA,EDM,2nd Period,4:16,EDM,--,Warren Foegele,foegewa01,Darnell Nurse,nurseda01,Connor Brown,brownco02
202312310ANA,ANA,EDM,2nd Period,11:43,EDM,--,Warren Foegele,foegewa01,Ryan McLeod,mcleory01,Leon Draisaitl,draisle01
202312310ANA,ANA,EDM,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202312310ANA,ANA,EDM,3rd Period,4:49,ANA,--,Frank Vatrano,vatrafr01,Alex Killorn,killoal01,Radko Gudas,gudasra01
202312310ANA,ANA,EDM,3rd Period,8:49,EDM,--,Zach Hyman,hymanza01,Connor McDavid,mcdavco01,Evan Bouchard,bouchev01
202312310ANA,ANA,EDM,3rd Period,15:49,EDM,--,Brett Kulak,kulakbr01,Leon Draisaitl,draisle01,Warren Foegele,foegewa01
202401030ANA,ANA,TOR,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202401030ANA,ANA,TOR,1st Period,11:41,ANA,SH,Frank Vatrano,vatrafr01,Mason McTavish,mctavma01,Jamie Drysdale,drysdja01
202401030ANA,ANA,TOR,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202401030ANA,ANA,TOR,3rd Period,14:17,TOR,PP,John Tavares,tavarjo01,Morgan Rielly,riellmo01,William Nylander,nylanwi01
202401030ANA,ANA,TOR,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period,1st OT Period
202401030ANA,ANA,TOR,1st OT Period,2:12,TOR,--,Auston Matthews,matthau01,Mitch Marner,marnemi01,Morgan Rielly,riellmo01
202401050ANA,ANA,WPG,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202401050ANA,ANA,WPG,1st Period,15:51,ANA,--,Mason McTavish,mctavma01,Alex Killorn,killoal01,Frank Vatrano,vatrafr01
202401050ANA,ANA,WPG,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202401050ANA,ANA,WPG,2nd Period,7:57,WPG,--,Nikolaj Ehlers,ehlerni01,Mark Scheifele,scheima01,Neal Pionk,pionkne01
202401050ANA,ANA,WPG,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202401050ANA,ANA,WPG,3rd Period,1:57,WPG,--,Nate Schmidt,schmina01,Dylan Samberg,sambedy01,Vladislav Namestnikov,namesvl01
202401050ANA,ANA,WPG,3rd Period,13:03,WPG,PP,Cole Perfetti,perfeco01,Vladislav Namestnikov,namesvl01,Nino Niederreiter,niedeni01
202401070ANA,ANA,DET,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
202401070ANA,ANA,DET,1st Period,0:20,ANA,--,Trevor Zegras,zegratr01,Troy Terry,terrytr01,Adam Henrique,henriad01
202401070ANA,ANA,DET,1st Period,11:10,DET,PP,Dylan Larkin,larkidy01,David Perron,perroda01,Shayne Gostisbehere,gostish01
202401070ANA,ANA,DET,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period,2nd Period
202401070ANA,ANA,DET,2nd Period,2:20,DET,--,Joe Veleno,velenjo01,Andrew Copp,coppan01,Ben Chiarot,chiarbe01
202401070ANA,ANA,DET,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period,3rd Period
202401070ANA,ANA,DET,3rd Period,3:55,ANA,--,Trevor Zegras,zegratr01,Cam Fowler,fowleca01,Jamie Drysdale,drysdja01
202401070ANA,ANA,DET,3rd Period,18:53,DET,--,Michael Rasmussen,rasmumi01,Moritz Seider,seidemo01,Lucas Raymond,raymolu01
202401210ANA,ANA,NYR,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period,1st Period
