Game_ID,Date,Team,Location,Opp,Result,Scorer,Scorer_ID,Assist1,Assist1_ID,Assist2,Assist2_ID,Goalie,Goalie_ID username,Per.,Time
202403140MIN,3/14/2024,MIN,vs,ANA,W,Zach Bogosian,bogosza01,Marco Rossi,rossima01,Jonas Brodin,brodijo01,Lukáš Dostál,dostalu01,1,14.73
202403140MIN,3/14/2024,MIN,vs,ANA,W,Kirill Kaprizov,kapriki01,Ryan Hartman,hartmry01,Matt Boldy,boldyma01,Lukáš Dostál,dostalu01,2,2.28
202403150WPG,3/15/2024,WPG,vs,ANA,W,Kyle Connor,connoky01,Dylan DeMelo,demeldy01,Josh Morrissey,morrijo04,John Gibson,gibsojo02,1,16.33
202403150WPG,3/15/2024,WPG,vs,ANA,W,Nate Schmidt,schmina01,Nikolaj Ehlers,ehlerni01,Neal Pionk,pionkne01,John Gibson,gibsojo02,2,7.78
202403150WPG,3/15/2024,WPG,vs,ANA,W,Dylan DeMelo,demeldy01,Nikolaj Ehlers,ehlerni01,Brenden Dillon,dillobr01,John Gibson,gibsojo02,3,4.98
202403150WPG,3/15/2024,WPG,vs,ANA,W,Tyler Toffoli,toffoty01,Sean Monahan,monahse01,--,--,John Gibson,gibsojo02,3,8.12
202403150WPG,3/15/2024,WPG,vs,ANA,W,Tyler Toffoli,toffoty01,Mark Scheifele,scheima01,Josh Morrissey,morrijo04,John Gibson,gibsojo02,3,11.08
202403150WPG,3/15/2024,WPG,vs,ANA,W,Mason Appleton,applema01,Adam Lowry,lowryad01,Josh Morrissey,morrijo04,John Gibson,gibsojo02,3,19.9
202403170STL,3/17/2024,STL,vs,ANA,W,Kevin Hayes,hayeske01,Torey Krug,krugto01,Zachary Bolduc,bolduza01,Lukáš Dostál,dostalu01,2,14.93
202403170STL,3/17/2024,STL,vs,ANA,W,Robert Thomas,thomaro01,Pavel Buchnevich,buchnpa01,Justin Faulk,faulkju01,Lukáš Dostál,dostalu01,3,1.88
202403170STL,3/17/2024,STL,vs,ANA,W,Jake Neighbours,neighja01,Brayden Schenn,schenbr01,Pavel Buchnevich,buchnpa01,Lukáš Dostál,dostalu01,3,6.2
202403170STL,3/17/2024,STL,vs,ANA,W,Robert Thomas,thomaro01,Pavel Buchnevich,buchnpa01,Justin Faulk,faulkju01,Lukáš Dostál,dostalu01,3,9.55
202403190ANA,3/19/2024,MIN,@,ANA,W,Ryan Hartman,hartmry01,Marcus Foligno,foligma01,Matt Boldy,boldyma01,John Gibson,gibsojo02,2,0.58
202403190ANA,3/19/2024,MIN,@,ANA,W,Jonathon Merrill,merrijo01,Frédérick Gaudreau,gaudrfr01,Marat Khusnutdinov,khusnma01,John Gibson,gibsojo02,2,1.93
202403190ANA,3/19/2024,MIN,@,ANA,W,Kirill Kaprizov,kapriki01,Ryan Hartman,hartmry01,Matt Boldy,boldyma01,John Gibson,gibsojo02,2,11.83
202403190ANA,3/19/2024,MIN,@,ANA,W,Jake Lucchini,lucchja01,Adam Beckman,beckmad01,--,--,John Gibson,gibsojo02,3,13.05
202403240ANA,3/24/2024,TBL,@,ANA,W,Anthony Duclair,duclaan01,Nicklaus Perbix,perbini01,--,--,Lukáš Dostál,dostalu01,2,7.83
202403240ANA,3/24/2024,TBL,@,ANA,W,Luke Glendening,glendlu01,Austin Watson,watsoau01,Tanner Jeannot,jeannta01,Lukáš Dostál,dostalu01,2,17
