Game,Date,Game_ID,Team,Location,Opp,G,GA,Result,OT/SO,SOG,PIM,SOGA,PIMA,CF at Even Strength,CA at Even Strength,CF% at Even Strength,FF at Even Strength,FA at Even Strength,FF% at Even Strength,FOW at Even Strength,FOL at Even Strength
35,12/29/2023,202312290ANA,ARI,@,ANA,2,0,W,,32,10,28,10,57,46,55.30%,41,34,54.70%,19,31
36,1/2/2024,202401020ARI,ARI,vs,FLA,1,4,L,,22,40,38,23,40,51,44.00%,31,41,43.10%,13,31
37,1/4/2024,202401040ARI,ARI,vs,NYI,1,5,L,,27,4,31,4,51,42,54.80%,35,34,50.70%,16,27
38,1/7/2024,202401070ARI,ARI,vs,WPG,2,6,L,,17,13,36,9,42,55,43.30%,30,41,42.30%,22,28
39,1/9/2024,202401090ARI,ARI,vs,BOS,4,3,W,OT,36,19,33,17,60,47,56.10%,48,31,60.80%,23,33
40,1/11/2024,202401110ARI,ARI,vs,CGY,2,6,L,,34,8,30,4,69,41,62.70%,42,33,56.00%,16,25
41,1/13/2024,202401130MIN,ARI,@,MIN,6,0,W,,33,18,38,18,47,57,45.20%,38,41,48.10%,17,25
42,1/16/2024,202401160CGY,ARI,@,CGY,2,3,L,OT,25,12,30,8,51,33,60.70%,34,24,58.60%,17,22
43,1/18/2024,202401180VAN,ARI,@,VAN,1,2,L,,21,17,26,11,36,30,54.50%,25,24,51.00%,14,26
44,1/20/2024,202401200ARI,ARI,vs,NSH,3,2,W,,24,12,32,4,50,49,50.50%,37,35,51.40%,24,17
45,1/22/2024,202401220ARI,ARI,vs,PIT,5,2,W,,26,6,27,6,51,41,55.40%,36,30,54.50%,20,35
46,1/24/2024,202401240FLA,ARI,@,FLA,2,6,L,,33,30,42,36,44,41,51.80%,37,36,50.70%,25,27
47,1/25/2024,202401250TBL,ARI,@,TBL,3,6,L,,20,26,37,12,42,45,48.30%,25,33,43.10%,17,19
48,1/27/2024,202401270CAR,ARI,@,CAR,1,3,L,,11,6,39,4,29,81,26.40%,16,57,21.90%,14,33
49,2/8/2024,202402080ARI,ARI,vs,VEG,2,3,L,,22,2,34,2,66,53,55.50%,44,39,53.00%,26,18
50,2/10/2024,202402100NSH,ARI,@,NSH,4,5,L,OT,31,12,37,10,46,55,45.50%,33,39,45.80%,24,23
51,2/12/2024,202402120PHI,ARI,@,PHI,3,5,L,,23,14,34,8,43,48,47.30%,33,37,47.10%,22,33
52,2/14/2024,202402140ARI,ARI,vs,MIN,1,3,L,,26,10,43,6,57,49,53.80%,39,39,50.00%,23,23
53,2/16/2024,202402160ARI,ARI,vs,CAR,1,5,L,,31,4,30,8,44,52,45.80%,35,40,46.70%,15,35
54,2/18/2024,202402180COL,ARI,@,COL,3,4,L,,30,10,37,14,29,40,42.00%,20,31,39.20%,23,22
55,2/19/2024,202402190ARI,ARI,vs,EDM,3,6,L,,25,6,26,6,58,46,55.80%,39,35,52.70%,20,24
56,2/21/2024,202402210ARI,ARI,vs,TOR,3,6,L,,26,14,36,10,52,44,54.20%,35,34,50.70%,21,24
57,2/25/2024,202402250WPG,ARI,@,WPG,3,4,L,OT,32,11,32,9,55,53,50.90%,42,38,52.50%,23,24
58,2/27/2024,202402270MTL,ARI,@,MTL,2,4,L,,38,0,21,6,69,39,63.90%,45,27,62.50%,17,25
59,2/29/2024,202402290TOR,ARI,@,TOR,2,4,L,,32,17,26,5,72,54,57.10%,45,38,54.20%,26,25
60,3/1/2024,202403010OTT,ARI,@,OTT,5,3,W,,30,10,37,12,51,53,49.00%,37,42,46.80%,27,28
61,3/3/2024,202403030WSH,ARI,@,WSH,5,2,W,,28,14,26,22,54,28,65.90%,31,20,60.80%,21,15
62,3/5/2024,202403050ARI,ARI,vs,CHI,2,5,L,,39,10,32,4,56,44,56.00%,42,30,58.30%,24,24
63,3/7/2024,202403070ARI,ARI,vs,MIN,2,5,L,,25,34,28,26,55,50,52.40%,31,35,47.00%,22,23
64,3/8/2024,202403080ARI,ARI,vs,DET,4,0,W,,24,2,28,4,46,54,46.00%,34,42,44.70%,22,22
65,3/10/2024,202403100CHI,ARI,@,CHI,4,7,L,,36,15,41,9,49,58,45.80%,40,46,46.50%,21,24
66,3/12/2024,202403120MIN,ARI,@,MIN,1,4,L,,23,8,31,4,42,54,43.80%,30,44,40.50%,15,31
67,3/14/2024,202403140DET,ARI,@,DET,4,1,W,,27,10,29,6,56,44,56.00%,37,29,56.10%,18,30
68,3/16/2024,202403160ARI,ARI,vs,NJD,4,1,W,,32,9,38,9,47,71,39.80%,34,50,40.50%,22,27
69,3/20/2024,202403200DAL,ARI,@,DAL,2,5,L,,25,14,33,2,45,52,46.40%,34,39,46.60%,20,23
70,3/22/2024,202403220ARI,ARI,vs,SEA,2,1,W,OT,26,11,28,9,40,59,40.40%,32,43,42.70%,22,25
71,3/24/2024,202403240ARI,ARI,vs,DAL,2,4,L,,28,8,35,10,46,61,43.00%,34,44,43.60%,18,29
72,3/26/2024,202403260ARI,ARI,vs,CBJ,6,2,W,,35,23,27,19,62,40,60.80%,48,29,62.30%,16,27
73,3/28/2024,202403280ARI,ARI,vs,NSH,8,4,W,,40,9,37,11,61,66,48.00%,47,51,48.00%,25,24
74,3/30/2024,202403300ARI,ARI,vs,NYR,5,8,L,,32,0,32,6,49,45,52.10%,35,38,47.90%,31,26
75,4/3/2024,202404030ARI,ARI,vs,VAN,1,2,L,,21,11,33,11,46,58,44.20%,30,49,38.00%,20,30
76,4/5/2024,202404050ARI,ARI,vs,VEG,7,4,W,,32,8,24,4,59,40,59.60%,39,30,56.50%,28,26
77,4/7/2024,202404070SJS,ARI,@,SJS,5,2,W,,28,14,27,18,41,44,48.20%,27,33,45.00%,16,21
78,4/9/2024,202404090SEA,ARI,@,SEA,0,5,L,,39,8,25,4,70,46,60.30%,52,32,61.90%,24,31
79,4/10/2024,202404100VAN,ARI,@,VAN,4,3,W,OT,18,8,26,10,31,62,33.30%,25,43,36.80%,10,30
80,4/12/2024,202404120EDM,ARI,@,EDM,3,2,W,OT,28,2,41,4,45,73,38.10%,35,56,38.50%,16,33
81,4/14/2024,202404140CGY,ARI,@,CGY,5,6,L,,35,11,31,11,62,44,58.50%,43,35,55.10%,22,33
82,4/17/2024,202404170ARI,ARI,vs,EDM,5,2,W,,24,4,30,4,34,56,37.80%,28,43,39.40%,20,28
1,10/11/2023,202310110BOS,BOS,vs,CHI,3,1,W,,33,13,21,23,65,37,63.70%,42,30,58.30%,27,15
2,10/14/2023,202310140BOS,BOS,vs,NSH,3,2,W,,30,14,36,10,43,42,50.60%,24,35,40.70%,14,27
3,10/19/2023,202310190SJS,BOS,@,SJS,3,1,W,,36,6,27,2,50,60,45.50%,41,42,49.40%,24,31
4,10/21/2023,202310210LAK,BOS,@,LAK,4,2,W,,25,17,34,13,42,56,42.90%,30,38,44.10%,27,32
5,10/22/2023,202310220ANA,BOS,@,ANA,3,1,W,,26,8,31,12,33,50,39.80%,26,41,38.80%,20,17
6,10/24/2023,202310240CHI,BOS,@,CHI,3,0,W,,43,8,23,10,57,40,58.80%,47,30,61.00%,25,28
7,10/26/2023,202310260BOS,BOS,vs,ANA,3,4,L,OT,30,12,32,8,43,45,48.90%,33,36,47.80%,23,18
8,10/28/2023,202310280BOS,BOS,vs,DET,4,1,W,,31,10,24,10,40,51,44.00%,31,31,50.00%,17,19
9,10/30/2023,202310300BOS,BOS,vs,FLA,3,2,W,OT,26,19,37,2,49,57,46.20%,31,39,44.30%,18,27
10,11/2/2023,202311020BOS,BOS,vs,TOR,3,2,W,SO,40,4,35,4,68,59,53.50%,52,47,52.50%,31,16
11,11/4/2023,202311040DET,BOS,@,DET,4,5,L,,30,32,40,20,42,61,40.80%,31,42,42.50%,22,24
12,11/6/2023,202311060DAL,BOS,@,DAL,3,2,W,,29,6,37,8,42,60,41.20%,24,48,33.30%,26,27
13,11/9/2023,202311090BOS,BOS,vs,NYI,5,2,W,,35,2,29,6,48,55,46.60%,34,36,48.60%,18,28
14,11/11/2023,202311110MTL,BOS,@,MTL,2,3,L,OT,28,8,27,8,45,44,50.60%,32,31,50.80%,15,18
15,11/14/2023,202311140BUF,BOS,@,BUF,5,2,W,,32,6,34,8,45,54,45.50%,33,44,42.90%,21,22
16,11/18/2023,202311180BOS,BOS,vs,MTL,5,2,W,,44,6,22,12,63,29,68.50%,52,18,74.30%,23,26
17,11/20/2023,202311200TBL,BOS,@,TBL,4,5,L,OT,27,14,47,6,43,61,41.30%,32,43,42.70%,20,26
18,11/22/2023,202311220FLA,BOS,@,FLA,3,1,W,,25,13,28,13,45,64,41.30%,30,44,40.50%,25,16
19,11/24/2023,202311240BOS,BOS,vs,DET,2,5,L,,27,12,28,6,45,38,54.20%,31,30,50.80%,26,23
20,11/25/2023,202311250NYR,BOS,@,NYR,4,7,L,,31,6,40,6,48,64,42.90%,35,51,40.70%,22,38
21,11/27/2023,202311270CBJ,BOS,@,CBJ,2,5,L,,33,10,40,4,60,52,53.60%,50,38,56.80%,25,19
22,11/30/2023,202311300BOS,BOS,vs,SJS,3,0,W,,37,22,26,20,48,40,54.50%,40,31,56.30%,22,19
23,12/2/2023,202312020TOR,BOS,@,TOR,4,3,W,OT,37,2,40,2,63,67,48.50%,45,50,47.40%,26,30
24,12/3/2023,202312030BOS,BOS,vs,CBJ,3,1,W,,28,8,25,12,47,45,51.10%,29,33,46.80%,16,17
25,12/7/2023,202312070BOS,BOS,vs,BUF,1,3,L,,32,6,35,2,61,49,55.50%,42,39,51.90%,24,19
26,12/9/2023,202312090BOS,BOS,vs,ARI,5,3,W,,29,10,33,6,41,42,49.40%,30,30,50.00%,32,10
27,12/13/2023,202312130NJD,BOS,@,NJD,1,2,L,OT,24,4,35,2,50,63,44.20%,38,48,44.20%,26,27
28,12/15/2023,202312150NYI,BOS,@,NYI,5,4,W,SO,34,8,37,6,57,47,54.80%,39,42,48.10%,28,36
29,12/16/2023,202312160BOS,BOS,vs,NYR,1,2,L,OT,22,30,34,15,45,42,51.70%,29,33,46.80%,16,18
30,12/19/2023,202312190BOS,BOS,vs,MIN,3,4,L,OT,43,14,30,28,56,53,51.40%,45,41,52.30%,30,17
31,12/22/2023,202312220WPG,BOS,@,WPG,1,5,L,,25,6,33,4,51,53,49.00%,39,37,51.30%,26,33
32,12/23/2023,202312230MIN,BOS,@,MIN,2,3,L,,21,15,35,9,42,42,50.00%,30,34,46.90%,21,24
33,12/27/2023,202312270BUF,BOS,@,BUF,4,1,W,,25,12,26,10,38,48,44.20%,29,35,45.30%,26,23
34,12/30/2023,202312300BOS,BOS,vs,NJD,5,2,W,,31,4,33,4,50,50,50.00%,37,37,50.00%,11,33
35,12/31/2023,202312310DET,BOS,@,DET,5,3,W,,24,16,30,8,40,43,48.20%,26,29,47.30%,10,26
36,1/2/2024,202401020CBJ,BOS,@,CBJ,4,1,W,,27,4,27,8,40,49,44.90%,26,36,41.90%,21,32
37,1/4/2024,202401040BOS,BOS,vs,PIT,5,6,L,,29,6,35,4,48,47,50.50%,30,37,44.80%,19,31
38,1/6/2024,202401060BOS,BOS,vs,TBL,7,3,W,,26,8,26,8,27,41,39.70%,19,32,37.30%,19,17
39,1/8/2024,202401080COL,BOS,@,COL,3,4,L,SO,26,14,36,8,44,59,42.70%,28,38,42.40%,38,26
40,1/9/2024,202401090ARI,BOS,@,ARI,3,4,L,OT,33,17,36,19,47,60,43.90%,31,48,39.20%,33,23
41,1/11/2024,202401110VEG,BOS,@,VEG,1,2,L,OT,33,10,25,6,58,41,58.60%,40,22,64.50%,18,18
42,1/13/2024,202401130STL,BOS,@,STL,4,3,W,OT,35,6,23,8,63,30,67.70%,48,24,66.70%,20,22
43,1/15/2024,202401150BOS,BOS,vs,NJD,3,0,W,,36,4,31,10,55,55,50.00%,42,41,50.60%,24,26
44,1/18/2024,202401180BOS,BOS,vs,COL,5,2,W,,31,4,32,6,54,58,48.20%,34,45,43.00%,26,27
45,1/20/2024,202401200BOS,BOS,vs,MTL,9,4,W,,36,11,21,11,45,41,52.30%,37,29,56.10%,23,22
