Season,Date,Game_ID,Player,Player_ID,Team,Location,Opp,Result,GA,SA,SV,SV%,TOI
2023-24,3/28/2024,202403280MIN,Mackenzie Blackwood,blackma01,SJS,@,MIN,L,2,31,29,94.00%,59.45
2023-24,3/30/2024,202403300STL,Mackenzie Blackwood,blackma01,SJS,@,STL,W,0,35,35,100.00%,60.00
2023-24,4/1/2024,202404010SJS,Mackenzie Blackwood,blackma01,SJS,vs,SEA,L,3,31,28,90.00%,59.40
2023-24,4/4/2024,202404040SJS,Mackenzie Blackwood,blackma01,SJS,vs,LAK,L,2,27,25,93.00%,58.12
2023-24,4/7/2024,202404070SJS,Mackenzie Blackwood,blackma01,SJS,vs,ARI,L,4,27,23,85.00%,58.30
2023-24,4/9/2024,202404090SJS,Mackenzie Blackwood,blackma01,SJS,vs,CGY,L-OT,3,41,38,93.00%,62.97
2023-24,4/13/2024,202404130SJS,Mackenzie Blackwood,blackma01,SJS,vs,MIN,L,6,38,32,84.00%,60.00
2023-24,10/12/2023,202310120MIN,Sergei Bobrovsky,bobrose01,FLA,@,MIN,L,2,21,19,91.00%,57.30
2023-24,10/14/2023,202310140WPG,Sergei Bobrovsky,bobrose01,FLA,@,WPG,L,5,34,29,85.00%,57.95
2023-24,10/16/2023,202310160NJD,Sergei Bobrovsky,bobrose01,FLA,@,NJD,W,3,34,31,91.00%,60.00
2023-24,10/19/2023,202310190FLA,Sergei Bobrovsky,bobrose01,FLA,vs,TOR,W,1,30,29,97.00%,60.00
2023-24,10/21/2023,202310210FLA,Sergei Bobrovsky,bobrose01,FLA,vs,VAN,L,4,30,26,87.00%,59.13
2023-24,10/28/2023,202310280FLA,Sergei Bobrovsky,bobrose01,FLA,vs,SEA,W,2,33,31,94.00%,60.00
2023-24,10/30/2023,202310300BOS,Sergei Bobrovsky,bobrose01,FLA,@,BOS,L-OT,3,26,23,89.00%,63.60
2023-24,11/2/2023,202311020DET,Sergei Bobrovsky,bobrose01,FLA,@,DET,W,0,22,22,100.00%,59.82
2023-24,11/6/2023,202311060FLA,Sergei Bobrovsky,bobrose01,FLA,vs,CBJ,W,4,23,19,83.00%,59.03
2023-24,11/8/2023,202311080WSH,Sergei Bobrovsky,bobrose01,FLA,@,WSH,W,3,28,25,89.00%,60.25
2023-24,11/10/2023,202311100FLA,Sergei Bobrovsky,bobrose01,FLA,vs,CAR,W,2,30,28,93.00%,60.00
2023-24,11/12/2023,202311120FLA,Sergei Bobrovsky,bobrose01,FLA,vs,CHI,W,3,26,23,89.00%,60.00
2023-24,11/16/2023,202311160LAK,Sergei Bobrovsky,bobrose01,FLA,@,LAK,L,2,27,25,93.00%,57.72
2023-24,11/20/2023,202311200FLA,Sergei Bobrovsky,bobrose01,FLA,vs,EDM,W,3,29,26,90.00%,60.00
2023-24,11/22/2023,202311220FLA,Sergei Bobrovsky,bobrose01,FLA,vs,BOS,L,3,25,22,88.00%,57.35
2023-24,11/24/2023,202311240FLA,Sergei Bobrovsky,bobrose01,FLA,vs,WPG,L,2,30,28,93.00%,58.87
2023-24,11/27/2023,202311270OTT,Sergei Bobrovsky,bobrose01,FLA,@,OTT,W,0,20,20,100.00%,60.00
2023-24,11/30/2023,202311300MTL,Sergei Bobrovsky,bobrose01,FLA,@,MTL,W,1,22,21,96.00%,60.00
2023-24,12/6/2023,202312060FLA,Sergei Bobrovsky,bobrose01,FLA,vs,DAL,W,4,33,29,88.00%,60.00
2023-24,12/8/2023,202312080FLA,Sergei Bobrovsky,bobrose01,FLA,vs,PIT,W,1,26,25,96.00%,60.00
2023-24,12/12/2023,202312120SEA,Sergei Bobrovsky,bobrose01,FLA,@,SEA,L,3,22,19,86.00%,56.70
2023-24,12/14/2023,202312140VAN,Sergei Bobrovsky,bobrose01,FLA,@,VAN,L,4,17,13,77.00%,39.70
2023-24,12/16/2023,202312160EDM,Sergei Bobrovsky,bobrose01,FLA,@,EDM,W,1,39,38,97.00%,59.85
